0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"Census Tract 94, Philadelphia County, Pennsylvania",3013,0,28,117,11,141,46,22,61,128,316,150,45,42,101,009400,0.12930965814802522
"Census Tract 95, Philadelphia County, Pennsylvania",2439,0,9,126,0,121,214,0,38,84,349,108,0,42,101,009500,0.13173021730217302
"Census Tract 363.01, Philadelphia County, Pennsylvania",3065,26,113,186,115,250,95,10,111,142,498,267,66,42,101,036301,0.20936704730831976
"Census Tract 353.02, Philadelphia County, Pennsylvania",3848,0,170,200,177,209,160,8,143,164,568,116,65,42,101,035302,0.18364085239085243
"Census Tract 355, Philadelphia County, Pennsylvania",6347,25,284,285,21,469,235,85,210,157,1015,151,134,42,101,035500,0.15637939183866392
"Census Tract 362.03, Philadelphia County, Pennsylvania",4017,0,128,292,112,198,144,48,214,188,567,159,214,42,101,036203,0.21324620363455316
"Census Tract 364, Philadelphia County, Pennsylvania",979,0,24,25,3,40,21,0,19,45,69,10,0,42,101,036400,0.09749744637385087
"Census Tract 205, Philadelphia County, Pennsylvania",2474,0,0,14,0,57,17,0,0,108,399,89,51,42,101,020500,0.1086863379143088
"Census Tract 218, Philadelphia County, Pennsylvania",4244,0,131,231,25,236,165,17,193,325,1009,128,27,42,101,021800,0.21806550424128182
"Census Tract 219, Philadelphia County, Pennsylvania",1270,0,53,30,4,41,6,21,66,122,243,78,58,42,101,021900,0.2435984251968504
"Census Tract 255, Philadelphia County, Pennsylvania",2371,0,26,36,12,118,26,49,163,201,405,183,86,42,101,025500,0.24209616195698017
"Census Tract 256, Philadelphia County, Pennsylvania",2318,0,48,74,0,53,44,37,75,251,561,135,38,42,101,025600,0.2378559102674719
"Census Tract 263.01, Philadelphia County, Pennsylvania",3165,0,0,81,0,169,109,22,147,163,591,125,10,42,101,026301,0.17071090047393364
"Census Tract 270, Philadelphia County, Pennsylvania",2283,5,28,78,0,97,132,7,62,78,480,98,99,42,101,027000,0.1712965396408235
"Census Tract 247, Philadelphia County, Pennsylvania",3397,15,17,76,0,140,27,11,27,273,601,135,49,42,101,024700,0.15748012952605242
"Census Tract 38, Philadelphia County, Pennsylvania",3162,0,93,65,42,271,115,15,149,256,390,146,242,42,101,003800,0.22261859582542698
"Census Tract 125, Philadelphia County, Pennsylvania",5212,4,47,196,50,127,12,179,432,853,1030,221,27,42,101,012500,0.31208940905602456
"Census Tract 210, Philadelphia County, Pennsylvania",4974,0,133,204,36,466,41,80,302,657,754,544,74,42,101,021000,0.28142340168878166
